20  Weighted Directed Graphs
** G1: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  2, 78.560)
      ( 0,  3,  1.391)
      ( 0,  4, 99.595)
      ( 0,  5, 72.021)
      ( 0,  6, 66.653)
      ( 0,  9, 75.303)
      ( 1,  3, 64.598)
      ( 1,  4, 53.320)
      ( 1,  5, 25.203)
      ( 2,  5, 76.091)
      ( 2,  9, 32.665)
      ( 3,  0, 62.563)
      ( 3,  2, 95.566)
      ( 4,  2, 78.605)
      ( 4,  3, 69.984)
      ( 4,  8, 48.614)
      ( 5,  1, 29.135)
      ( 5,  3, 46.070)
      ( 5,  4, 84.579)
      ( 5,  6, 21.723)
      ( 5,  9,  4.735)
      ( 6,  0, 25.484)
      ( 6,  1, 37.504)
      ( 6,  3,  6.184)
      ( 6,  8, 29.834)
      ( 6,  9, 53.882)
      ( 7,  4, 26.836)
      ( 7,  8, 49.443)
      ( 7,  9, 53.792)
      ( 8,  0, 16.796)
      ( 8,  3, 31.759)
      ( 8,  4, 50.054)
      ( 8,  5, 57.658)
      ( 8,  6, 34.149)
      ( 8,  7, 90.220)
      ( 9,  0, 79.511)
      ( 9,  2, 57.675)
      ( 9,  6, 50.242)
      ( 9,  7, 92.101) }
------------------------- 

** G2: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  3, 21.264)
      ( 0,  6, 49.247)
      ( 1,  0, 17.105)
      ( 1,  6, 84.690)
      ( 2,  0, 70.085)
      ( 2,  1, 18.695)
      ( 2,  4, 13.580)
      ( 2,  9, 49.669)
      ( 3,  0, 41.280)
      ( 3,  6, 87.808)
      ( 3,  7,  0.619)
      ( 4,  2,  3.610)
      ( 4,  3, 92.980)
      ( 4,  8, 96.962)
      ( 5,  1, 64.735)
      ( 5,  2, 53.172)
      ( 5,  3, 77.031)
      ( 5,  6, 72.157)
      ( 5,  7, 89.960)
      ( 5,  8, 35.136)
      ( 6,  1, 15.539)
      ( 6,  3, 91.719)
      ( 6,  4, 60.394)
      ( 7,  0, 78.588)
      ( 7,  1, 89.048)
      ( 7,  2, 87.864)
      ( 7,  4, 85.133)
      ( 7,  5, 92.909)
      ( 7,  8, 62.541)
      ( 8,  3, 51.983)
      ( 8,  5, 81.887)
      ( 8,  9,  8.655)
      ( 9,  0, 14.893)
      ( 9,  3, 28.527)
      ( 9,  5, 52.083)
      ( 9,  6, 71.909)
      ( 9,  8, 37.627) }
------------------------- 

** G3: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  1, 63.690)
      ( 0,  2, 11.116)
      ( 0,  3,  7.906)
      ( 0,  9, 31.836)
      ( 1,  0, 86.662)
      ( 1,  2,  1.625)
      ( 1,  4, 55.636)
      ( 1,  5, 10.486)
      ( 1,  8,  5.809)
      ( 1,  9, 77.408)
      ( 2,  4, 94.627)
      ( 2,  5, 76.231)
      ( 2,  7, 94.160)
      ( 2,  8, 70.418)
      ( 2,  9, 48.812)
      ( 3,  1, 57.696)
      ( 3,  5, 54.224)
      ( 3,  6, 96.638)
      ( 3,  7, 20.984)
      ( 4,  0, 32.672)
      ( 4,  1, 32.438)
      ( 4,  5, 57.605)
      ( 4,  8, 14.677)
      ( 4,  9, 47.123)
      ( 5,  0, 28.525)
      ( 5,  2, 23.446)
      ( 5,  8, 20.522)
      ( 6,  0, 86.328)
      ( 6,  1, 49.638)
      ( 6,  4, 62.741)
      ( 6,  7, 91.884)
      ( 6,  9, 41.267)
      ( 7,  0, 96.420)
      ( 7,  3, 32.015)
      ( 7,  5, 47.740)
      ( 7,  6,  7.495)
      ( 8,  2, 61.424)
      ( 8,  5, 79.437)
      ( 8,  7, 51.665)
      ( 8,  9, 80.160)
      ( 9,  1, 39.118)
      ( 9,  2, 63.589)
      ( 9,  5, 14.962)
      ( 9,  8,  7.738) }
------------------------- 

** G4: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  1, 81.001)
      ( 0,  2, 80.875)
      ( 0,  4, 79.371)
      ( 0,  8, 80.256)
      ( 1,  3, 52.319)
      ( 1,  4, 28.561)
      ( 1,  7, 52.617)
      ( 2,  1,  2.877)
      ( 2,  3, 23.181)
      ( 3,  0, 69.278)
      ( 3,  1, 35.373)
      ( 3,  2, 55.674)
      ( 3,  4, 41.645)
      ( 3,  5, 25.246)
      ( 4,  0, 77.018)
      ( 4,  7, 12.553)
      ( 4,  8, 65.590)
      ( 5,  0, 67.345)
      ( 6,  1, 12.189)
      ( 6,  2, 72.747)
      ( 6,  3, 42.972)
      ( 7,  3, 17.692)
      ( 7,  6, 85.354)
      ( 7,  8, 11.418)
      ( 7,  9, 84.540)
      ( 8,  0, 15.546)
      ( 8,  1, 15.852)
      ( 8,  2, 99.823)
      ( 8,  3, 56.442)
      ( 8,  4, 73.213)
      ( 8,  9, 16.385)
      ( 9,  1, 27.026)
      ( 9,  5, 85.060)
      ( 9,  6, 27.916)
      ( 9,  7, 43.279)
      ( 9,  8, 77.183) }
------------------------- 

** G5: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 0,  3, 67.356)
      ( 0,  5, 56.540)
      ( 0,  6, 95.155)
      ( 0,  7, 98.335)
      ( 1,  2, 24.919)
      ( 1,  3, 13.582)
      ( 1,  5, 19.817)
      ( 2,  7, 70.268)
      ( 2,  8, 38.386)
      ( 2,  9, 95.602)
      ( 3,  0,  9.036)
      ( 3,  6, 12.000)
      ( 3,  9, 33.976)
      ( 4,  0, 58.177)
      ( 4,  1, 94.951)
      ( 4,  3, 44.768)
      ( 4,  7, 54.429)
      ( 4,  8, 20.614)
      ( 4,  9, 25.768)
      ( 5,  0, 72.935)
      ( 5,  2, 44.684)
      ( 5,  3, 10.660)
      ( 5,  6, 75.664)
      ( 6,  4, 47.659)
      ( 6,  5, 85.413)
      ( 6,  7, 13.163)
      ( 7,  0, 74.600)
      ( 8,  0, 17.329)
      ( 8,  1, 67.204)
      ( 8,  4, 93.836)
      ( 8,  7, 63.533)
      ( 9,  1, 97.309)
      ( 9,  2, 60.452)
      ( 9,  6, 64.913) }
------------------------- 

** G6: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  6, 36.761)
      ( 0,  9,  7.326)
      ( 1,  5, 13.274)
      ( 1,  6, 72.069)
      ( 1,  7, 71.021)
      ( 1, 11, 62.011)
      ( 1, 12, 16.916)
      ( 2,  6, 32.655)
      ( 2, 10,  1.941)
      ( 2, 12, 49.168)
      ( 3,  0, 65.625)
      ( 3,  4, 84.666)
      ( 3,  5, 29.669)
      ( 3,  7, 59.068)
      ( 3,  9, 12.770)
      ( 3, 11,  6.572)
      ( 3, 12, 60.695)
      ( 4,  5, 19.677)
      ( 4,  7, 79.037)
      ( 4,  8, 96.505)
      ( 5,  8, 62.836)
      ( 5,  9, 47.711)
      ( 5, 13, 68.723)
      ( 5, 14, 20.285)
      ( 6,  1, 98.977)
      ( 6,  3, 37.937)
      ( 6, 10, 69.173)
      ( 6, 12, 78.237)
      ( 6, 13, 29.796)
      ( 7,  0, 27.229)
      ( 7,  3, 12.989)
      ( 7, 10, 67.619)
      ( 7, 11, 88.615)
      ( 8,  0, 38.781)
      ( 8,  7, 87.772)
      ( 8, 11, 80.052)
      ( 8, 14, 31.884)
      ( 9,  0, 45.047)
      ( 9,  4, 63.307)
      ( 9,  8, 29.534)
      (10,  0, 76.378)
      (10,  2, 22.588)
      (10,  5, 53.950)
      (10,  6, 19.240)
      (10,  8, 54.633)
      (10, 11, 92.598)
      (10, 14, 35.416)
      (11,  2, 46.452)
      (11,  3, 17.386)
      (11,  4, 94.413)
      (11,  7,  5.792)
      (11, 13, 88.767)
      (11, 14, 56.642)
      (12,  3, 76.423)
      (12,  8, 36.169)
      (12, 13, 38.188)
      (13,  0, 57.285)
      (13,  3, 76.736)
      (13,  4, 65.420)
      (13,  5, 63.599)
      (13,  7, 50.243)
      (13, 10, 94.943)
      (13, 14, 44.518)
      (14,  5, 19.485)
      (14,  6, 74.844)
      (14,  7, 76.208)
      (14, 11, 82.353) }
------------------------- 

** G7: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  1, 81.225)
      ( 0,  3, 64.476)
      ( 0,  5, 38.915)
      ( 1,  2, 71.215)
      ( 1,  7, 44.338)
      ( 1,  8, 69.766)
      ( 1, 11, 96.098)
      ( 2,  6, 89.631)
      ( 2,  8, 21.471)
      ( 2, 14, 27.987)
      ( 3,  5, 96.478)
      ( 3,  8, 84.184)
      ( 3, 11, 69.782)
      ( 4,  0, 36.943)
      ( 4,  2,  3.698)
      ( 4,  3, 43.110)
      ( 4,  5, 47.230)
      ( 4,  9, 20.969)
      ( 4, 10, 92.224)
      ( 4, 13, 85.322)
      ( 4, 14,  4.875)
      ( 5,  1, 87.157)
      ( 5,  9, 57.898)
      ( 5, 10, 97.799)
      ( 5, 13, 64.502)
      ( 6,  5, 97.177)
      ( 6,  7, 46.022)
      ( 6,  8, 57.915)
      ( 6, 10, 35.120)
      ( 6, 11, 74.005)
      ( 7,  1, 11.367)
      ( 7,  4, 95.292)
      ( 7,  6,  9.103)
      ( 7, 10, 31.757)
      ( 7, 14, 82.893)
      ( 8,  3, 88.738)
      ( 8,  6, 38.337)
      ( 8, 10, 40.491)
      ( 8, 13, 91.864)
      ( 8, 14, 68.664)
      ( 9,  1, 88.480)
      ( 9,  3, 83.224)
      ( 9,  4, 14.966)
      ( 9,  5, 99.133)
      ( 9, 14, 98.520)
      (10,  0, 79.786)
      (10, 11, 74.613)
      (10, 14, 91.709)
      (11,  1,  3.708)
      (11,  9, 93.953)
      (12,  2, 32.116)
      (12,  5, 88.912)
      (12, 10,  0.279)
      (12, 14, 91.323)
      (13,  0,  6.789)
      (13,  7, 60.297)
      (13,  9, 98.389)
      (13, 10, 86.809)
      (13, 11,  7.907)
      (14,  4, 44.984)
      (14,  6, 55.190)
      (14,  7, 53.901)
      (14,  8, 83.194)
      (14, 10, 31.470) }
------------------------- 

** G8: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  4, 90.038)
      ( 0,  8, 44.640)
      ( 0, 11, 76.331)
      ( 0, 12, 45.600)
      ( 0, 13, 67.895)
      ( 1,  7, 70.320)
      ( 1, 10, 25.862)
      ( 1, 13, 28.809)
      ( 2,  5, 53.285)
      ( 2,  6, 48.155)
      ( 2,  8, 90.796)
      ( 3,  4, 94.610)
      ( 3,  5, 65.998)
      ( 3,  8, 58.667)
      ( 3, 14, 66.211)
      ( 4,  7, 22.065)
      ( 4,  8, 68.114)
      ( 4, 11,  8.353)
      ( 4, 12, 99.806)
      ( 4, 14, 29.159)
      ( 5,  1, 13.677)
      ( 5,  3, 82.597)
      ( 5,  4, 82.258)
      ( 5,  6, 53.924)
      ( 5,  7, 50.979)
      ( 5,  8, 14.706)
      ( 5,  9,  5.828)
      ( 5, 11, 63.247)
      ( 5, 13, 94.340)
      ( 6,  2, 11.200)
      ( 6,  9, 16.279)
      ( 7,  1, 10.404)
      ( 7,  2, 59.083)
      ( 7, 13, 64.028)
      ( 7, 14, 50.347)
      ( 8, 11, 66.271)
      ( 8, 14,  1.086)
      ( 9,  0, 83.367)
      ( 9,  3, 53.792)
      ( 9, 12, 51.050)
      (10,  9, 18.994)
      (10, 11, 94.508)
      (10, 12, 22.464)
      (10, 13, 60.789)
      (11,  1, 32.422)
      (11,  2, 26.269)
      (11,  4, 21.401)
      (11,  5, 37.113)
      (11,  6, 78.940)
      (11,  8, 67.949)
      (11, 10,  0.396)
      (12,  2, 14.424)
      (12,  5, 96.665)
      (12,  7, 23.390)
      (12, 13, 42.000)
      (13, 10, 13.007)
      (13, 11, 90.477)
      (14,  0, 67.953)
      (14,  7, 38.067)
      (14, 10,  5.617)
      (14, 11, 11.675)
      (14, 13, 95.800) }
------------------------- 

** G9: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      ( 0,  7, 16.170)
      ( 0,  8,  3.597)
      ( 0,  9, 20.259)
      ( 0, 11, 94.364)
      ( 0, 14, 41.975)
      ( 1,  0, 78.462)
      ( 1,  2, 43.688)
      ( 1,  6, 90.574)
      ( 1,  9, 59.759)
      ( 1, 12, 57.460)
      ( 2,  6, 76.681)
      ( 2,  8, 92.405)
      ( 2, 10, 72.138)
      ( 3,  4, 71.011)
      ( 3,  7, 28.649)
      ( 3, 10, 17.540)
      ( 3, 14, 60.698)
      ( 4,  6, 51.447)
      ( 4,  9, 33.325)
      ( 4, 14,  7.803)
      ( 5,  0, 46.137)
      ( 5,  1, 22.474)
      ( 5,  6, 48.947)
      ( 5, 10,  3.623)
      ( 5, 12, 34.001)
      ( 6, 13, 92.638)
      ( 7,  5,  3.224)
      ( 7,  8, 14.441)
      ( 7, 11, 32.214)
