10 flow networks in WDG1.txt.

** G1: |V|=15, V={0..14}
(u, v, weight) E = { 
      ( 0,  1, 82.280)
      ( 0,  5, 69.112)
      ( 0,  6, 33.212)
      ( 0,  7, 16.583)
      ( 0,  9,  0.019)
      ( 1,  7, 74.253)
      ( 1, 10, 38.007)
      ( 1, 11, 75.040)
      ( 1, 12,  4.896)
      ( 1, 14, 57.234)
      ( 2,  3, 15.518)
      ( 2,  4, 66.870)
      ( 2,  6, 50.355)
      ( 2,  7,  7.812)
      ( 2,  8, 87.940)
      ( 3,  1, 14.240)
      ( 3,  5,  3.393)
      ( 3,  7, 93.606)
      ( 3,  8, 99.975)
      ( 3, 12, 20.678)
      ( 3, 13, 89.115)
      ( 4,  1, 90.738)
      ( 4,  8, 78.273)
      ( 4,  9, 87.329)
      ( 5,  1, 54.460)
      ( 5,  3, 89.871)
      ( 5,  6, 96.005)
      ( 5, 10, 49.646)
      ( 6,  5,  2.295)
      ( 6,  8, 65.663)
      ( 6,  9, 99.537)
      ( 6, 10, 55.068)
      ( 7,  3, 43.201)
      ( 7,  5, 74.621)
      ( 7, 11,  7.623)
      ( 8,  4, 27.145)
      ( 8,  6,  5.230)
      ( 8, 12, 16.418)
      ( 8, 13, 59.183)
      ( 9,  3, 62.007)
      ( 9, 14,  6.630)
      (10,  2, 54.775)
      (10,  5, 12.785)
      (11,  1, 17.015)
      (11,  6, 61.026)
      (11, 10,  8.139)
      (11, 12, 51.153)
      (11, 14, 31.955)
      (12,  4, 35.846)
      (12,  7, 28.500)
      (12, 10,  9.620)
      (12, 11, 35.131)
      (13,  3, 78.819)
      (13, 10, 68.877) }
------------------------- 

** G2: |V|=15, V={0..14}
(u, v, weight) E = { 
      ( 0,  1, 28.983)
      ( 0,  2, 17.030)
      ( 0, 10, 70.646)
      ( 1,  3, 35.288)
      ( 1,  4, 21.099)
      ( 2,  4, 11.329)
      ( 2,  5, 54.307)
      ( 2,  6, 82.977)
      ( 2,  8, 88.140)
      ( 2, 10, 44.018)
      ( 2, 11, 91.579)
      ( 2, 12, 49.617)
      ( 2, 13, 98.416)
      ( 2, 14, 66.537)
      ( 3,  9, 20.577)
      ( 3, 13, 56.997)
      ( 4,  6,  5.532)
      ( 4,  7, 13.788)
      ( 4,  9, 33.796)
      ( 4, 10, 88.155)
      ( 4, 13, 39.401)
      ( 4, 14, 53.644)
      ( 5,  1, 67.357)
      ( 5,  4, 81.572)
      ( 5,  6, 19.062)
      ( 5,  7, 88.265)
      ( 5, 14, 34.945)
      ( 6,  1, 77.738)
      ( 6,  2, 73.213)
      ( 7,  2, 62.778)
      ( 7,  4, 13.816)
      ( 8,  3, 77.603)
      ( 9,  1, 10.737)
      ( 9,  2, 91.531)
      ( 9,  8,  6.638)
      ( 9, 11, 47.675)
      ( 9, 12, 76.211)
      (10,  5, 92.250)
      (10,  6, 48.157)
      (10,  8, 54.818)
      (10,  9, 82.291)
      (11, 13, 12.132)
      (12,  2, 90.612)
      (12,  7, 94.118)
      (12, 13, 23.143)
      (13,  1, 88.099)
      (13,  3, 55.598)
      (13,  7, 86.561) }
------------------------- 

** G3: |V|=15, V={0..14}
(u, v, weight) E = { 
      ( 0,  2, 59.742)
      ( 0,  7, 62.306)
      ( 0,  9, 33.131)
      ( 0, 13,  3.812)
      ( 1,  4, 75.911)
      ( 1,  5, 81.251)
      ( 1,  7, 19.162)
      ( 1, 12,  8.293)
      ( 1, 13, 87.504)
      ( 2,  4, 87.626)
      ( 2,  6,  5.627)
      ( 2,  7, 29.961)
      ( 2,  8, 49.874)
      ( 2, 12, 72.682)
      ( 2, 13,  7.507)
      ( 2, 14, 51.351)
      ( 3,  7, 55.256)
      ( 3,  8, 31.915)
      ( 3, 10, 46.994)
      ( 3, 13, 19.459)
      ( 4,  6, 16.767)
      ( 4, 12, 50.595)
      ( 5,  4, 16.122)
      ( 5, 10, 25.392)
      ( 5, 14, 40.252)
      ( 6,  2, 47.225)
      ( 6,  8, 52.353)
      ( 6, 10, 60.730)
      ( 6, 14, 65.172)
      ( 7,  2, 70.442)
      ( 7,  4,  6.667)
      ( 7,  5, 26.810)
      ( 7,  6, 44.223)
      ( 7, 13, 56.420)
      ( 8,  3,  4.880)
      ( 8,  4, 99.097)
      ( 8,  5, 39.552)
      ( 8, 10, 79.419)
      ( 8, 11, 47.429)
      ( 8, 13, 92.263)
      ( 9,  2,  6.476)
      ( 9,  3,  3.704)
      ( 9, 14, 83.610)
      (10,  1, 64.570)
      (10, 14, 52.355)
      (11,  1, 76.707)
      (11,  5, 22.304)
      (11,  6, 13.707)
      (11,  8, 42.856)
      (11,  9, 29.964)
      (11, 10, 47.575)
      (12,  2, 89.262)
      (12,  6, 16.193)
      (12,  8,  3.057)
      (12, 11, 19.096)
      (12, 13, 67.607)
      (13,  1, 48.030)
      (13,  2, 32.522)
      (13,  7, 74.302)
      (13,  8, 67.102)
      (13, 11, 86.674)
      (13, 14, 47.438) }
------------------------- 

** G4: |V|=15, V={0..14}
(u, v, weight) E = { 
      ( 0,  1, 14.444)
      ( 0,  3, 96.044)
      ( 0, 12, 66.712)
      ( 0, 13, 68.261)
      ( 1,  2, 39.335)
      ( 1,  8, 93.503)
      ( 1,  9, 65.932)
      ( 1, 13, 90.222)
      ( 2,  1,  4.923)
      ( 2,  3,  1.852)
      ( 2,  5, 48.748)
      ( 2,  6, 36.864)
      ( 2,  8,  3.579)
      ( 2,  9, 87.471)
      ( 2, 10, 55.520)
      ( 2, 13,  6.643)
      ( 2, 14, 82.875)
      ( 3,  2, 62.082)
      ( 3,  5, 32.128)
      ( 3,  9, 34.503)
      ( 3, 13, 91.197)
      ( 4,  2, 90.989)
      ( 4,  5, 32.892)
      ( 4,  7, 68.154)
      ( 4, 11, 57.408)
      ( 4, 12, 33.034)
      ( 4, 13, 77.623)
      ( 4, 14, 55.222)
      ( 5,  1, 75.570)
      ( 5,  8, 50.193)
      ( 5, 10, 10.359)
      ( 5, 13,  7.443)
      ( 6,  5, 81.051)
      ( 7,  4, 17.339)
      ( 7,  5,  9.256)
      ( 7,  9, 89.970)
      ( 8,  1, 81.186)
      ( 8,  4, 47.068)
      ( 8, 11, 29.114)
      ( 8, 13, 15.968)
      ( 9,  3, 26.002)
      ( 9,  5, 89.638)
      ( 9,  6, 71.004)
      ( 9, 11,  2.121)
      (10,  4, 72.456)
      (10, 12, 21.021)
      (11,  8, 13.518)
      (11,  9,  8.366)
      (11, 14, 69.024)
      (12,  2, 93.783)
      (12,  3, 31.216)
      (12,  5, 59.153)
      (12,  7, 26.481)
      (12,  8, 48.990)
      (12,  9, 68.971)
      (12, 10, 33.811)
      (12, 14, 80.166)
      (13,  2, 24.663)
      (13,  3, 98.022)
      (13,  9, 69.130)
      (13, 12, 80.088) }
------------------------- 

** G5: |V|=15, V={0..14}
