1 flow networks in WDG4.txt.

** G1: |V|=40, V={0..39}
(u, v, weight) E = {
      ( 0,  3, 87.895)
      ( 0,  6, 52.323)
      ( 0,  9, 38.624)
      ( 0, 23,  1.532)
      ( 0, 27, 97.223)
      ( 0, 30, 81.042)
      ( 1, 10, 79.162)
      ( 1, 22,  4.259)
      ( 2, 16, 39.260)
      ( 2, 19, 48.891)
      ( 2, 22, 89.040)
      ( 2, 25,  0.205)
      ( 2, 28, 36.433)
      ( 3, 10, 87.470)
      ( 3, 32, 62.726)
      ( 3, 39, 26.319)
      ( 4,  3, 44.211)
      ( 5, 17, 62.872)
      ( 5, 37, 84.634)
      ( 6,  3, 89.408)
      ( 6,  7, 79.237)
      ( 6,  8, 27.506)
      ( 6, 17, 59.861)
      ( 6, 36, 88.945)
      ( 7, 22, 92.229)
      ( 7, 23, 16.809)
      ( 7, 33, 74.651)
      ( 7, 39, 46.093)
      ( 8, 21,  8.980)
      ( 8, 22, 63.434)
      ( 8, 33, 35.756)
      ( 8, 39, 38.083)
      ( 9,  6, 62.096)
      ( 9,  8, 95.029)
      ( 9, 26, 73.611)
      (10, 12, 79.599)
      (10, 13, 61.551)
      (10, 28, 48.509)
      (11,  3, 57.505)
      (11,  9, 34.147)
      (11, 23, 50.491)
      (12,  7, 87.813)
      (12,  9, 19.760)
      (12, 14, 53.481)
      (12, 20, 74.220)
      (12, 21, 45.478)
      (12, 25, 31.225)
      (12, 30, 55.018)
      (13, 15, 39.746)
      (13, 18, 95.043)
      (13, 22, 89.312)
      (13, 31, 73.862)
      (14,  6, 50.781)
      (14, 17, 28.167)
      (14, 27, 49.156)
      (14, 36, 98.458)
      (14, 38, 11.637)
      (15,  3, 29.598)
      (15, 12, 96.427)
      (15, 13, 72.153)
      (15, 26, 62.021)
      (15, 39, 30.576)
      (16, 11, 98.811)
      (16, 18, 62.911)
      (16, 25, 60.342)
      (16, 33, 94.052)
      (16, 35, 29.107)
      (16, 39, 94.236)
      (17,  3, 44.766)
      (17, 16, 47.123)
      (17, 24, 42.487)
      (17, 25, 94.906)
      (17, 29, 50.943)
      (17, 30, 50.443)
      (17, 31, 98.460)
      (17, 33, 92.464)
      (18, 10, 42.993)
      (18, 17, 54.951)
      (18, 19, 55.704)
      (18, 24, 74.553)
      (18, 29, 22.098)
      (19, 30, 67.164)
      (19, 35, 63.029)
      (20, 14, 30.071)
      (20, 19, 34.784)
      (21, 19,  2.464)
      (21, 27, 54.399)
      (21, 30, 48.828)
      (22,  6, 77.773)
      (22,  9, 45.239)
      (22, 12, 21.107)
      (22, 13, 45.839)
      (22, 16, 65.113)
      (22, 28, 46.494)
      (23, 28, 46.920)
      (23, 30, 76.648)
      (23, 39, 82.144)
      (24,  2, 91.550)
      (24,  4, 90.249)
      (24, 23,  7.123)
      (24, 29, 45.720)
      (24, 30, 59.765)
      (24, 31, 10.166)
      (24, 32, 39.935)
      (25,  6, 43.073)
      (25,  8, 82.766)
      (25, 20, 13.419)
      (25, 21, 59.583)
      (25, 39,  2.582)
      (26, 10,  8.562)
      (27, 12, 86.405)
      (27, 14, 74.157)
      (27, 29,  1.761)
      (28,  5,  3.039)
      (28,  8, 37.449)
      (28, 22, 93.213)
      (28, 32, 47.725)
      (29,  3, 84.763)
      (29,  5, 12.620)
      (29, 15, 60.064)
      (29, 24, 89.474)
      (29, 25, 66.729)
      (29, 26,  0.772)
      (30,  4, 50.521)
      (30, 24, 11.395)
      (31,  1, 84.652)
      (31,  5, 29.422)
      (31,  6, 97.589)
      (31,  7, 92.469)
      (31, 12,  7.713)
      (32, 25, 57.607)
      (32, 28,  9.959)
      (32, 36,  5.832)
      (33, 14, 98.160)
      (33, 17, 12.865)
      (33, 23, 11.135)
      (33, 28, 40.485)
      (33, 29, 20.045)
      (33, 34, 48.041)
      (33, 39, 61.942)
      (34,  1, 37.144)
      (34,  8,  9.458)
      (34,  9, 64.721)
      (34, 13, 78.733)
      (34, 16,  0.455)
      (34, 23, 51.015)
      (34, 36, 42.699)
      (35,  6, 10.067)
      (35,  9, 76.060)
      (35, 27, 73.052)
      (35, 36,  0.032)
      (36,  4, 43.779)
      (36, 10, 23.284)
      (36, 13, 68.887)
      (36, 18, 56.945)
      (36, 27, 46.365)
      (36, 29, 17.533)
      (37, 26, 26.799)
      (37, 29, 48.005)
      (38,  3, 46.329)
      (38,  6, 53.854)
      (38, 14, 40.850)
      (38, 20, 20.803)
      (38, 29, 39.694)
      (38, 35, 91.478) }
-------------------------
