1 flow networks in WDGA.txt.

** G1: |V|=50, V={0..49}
(u, v, weight) E = { 
      ( 0, 10,  22)
      ( 0, 11,  48)
      ( 0, 16,  38)
      ( 0, 49,   9)
      ( 1,  4,  88)
      ( 1,  9,  89)
      ( 1, 25,  68)
      ( 2, 15,  73)
      ( 2, 19,  28)
      ( 2, 25,  62)
      ( 2, 38,  73)
      ( 3, 17,  87)
      ( 3, 18,  36)
      ( 3, 37,  48)
      ( 3, 39,  10)
      ( 3, 43,  82)
      ( 4, 13,  12)
      ( 4, 25,  26)
      ( 4, 26,  89)
      ( 4, 29,  31)
      ( 4, 35,   7)
      ( 4, 42,  37)
      ( 5, 35,  17)
      ( 5, 36,  40)
      ( 5, 41,  84)
      ( 6,  7,  77)
      ( 6,  9,   1)
      ( 6, 23,  60)
      ( 6, 24,   1)
      ( 6, 40,  47)
      ( 7, 10,  23)
      ( 7, 16,  12)
      ( 7, 24,   0)
      ( 7, 25,   9)
      ( 7, 30,  82)
      ( 7, 48,  20)
      ( 8, 27,  73)
      ( 8, 34,  86)
      ( 8, 35,  81)
      ( 8, 36,  85)
      ( 8, 39,  58)
      ( 8, 41,  83)
      ( 9, 24,  82)
      ( 9, 39,  37)
      ( 9, 44,  14)
      (10, 11,  60)
      (10, 25,  80)
      (10, 34,  80)
      (10, 38,   7)
      (10, 49,  62)
      (11, 18,  38)
      (11, 19,  75)
      (11, 20,  13)
      (11, 24,  65)
      (11, 25,  88)
      (11, 31,  18)
      (11, 35,  70)
      (11, 43,   7)
      (12,  3,  17)
      (12, 24,  28)
      (12, 37,   1)
      (12, 45,  94)
      (13,  5,  30)
      (13, 21,  45)
      (13, 24,  68)
      (13, 38,  16)
      (14, 18,  11)
      (14, 21,  27)
      (15,  7,  44)
      (15,  9,  71)
      (15, 12,  57)
      (15, 13,  73)
      (15, 35,  43)
      (15, 41,  90)
      (16, 23,  37)
      (16, 36,  14)
      (16, 41,  58)
      (16, 45,  83)
      (17,  9,  54)
      (17, 18,  75)
      (17, 26,  68)
      (17, 31,  89)
      (17, 34,   8)
      (17, 37,  23)
      (17, 43,  64)
      (17, 45,  81)
      (17, 48,  65)
      (18, 13,  84)
      (18, 19,   3)
      (18, 23,  51)
      (18, 32,   8)
      (18, 33,   6)
      (18, 35,  52)
      (18, 42,  62)
      (18, 45,   8)
      (18, 48,  29)
      (19,  1,  30)
      (19, 24,  30)
      (19, 38,  23)
      (19, 39,  43)
      (19, 46,  30)
      (20,  4,  99)
      (20,  5,  48)
      (20, 23,  23)
      (20, 33,  12)
      (20, 46,  74)
      (21,  1,  65)
      (21, 13,  95)
      (21, 19,   0)
      (21, 24,   5)
      (21, 29,  33)
      (21, 31,  76)
      (21, 49,  41)
      (22,  4,   7)
      (22, 11,  99)
      (22, 13,  44)
      (22, 21,  52)
      (22, 23,  20)
      (22, 24,  28)
      (22, 30,   0)
      (22, 41,  25)
      (22, 45,  31)
      (23,  3,  80)
      (23,  4,  98)
      (23, 20,  45)
      (23, 39,  10)
      (24,  1,  26)
      (24,  3,  12)
      (24,  6,  33)
      (24, 45,  51)
      (25,  2,  10)
      (25,  8,   1)
      (25,  9,   7)
      (25, 11,  29)
      (25, 24,  34)
      (25, 31,  96)
      (25, 38,  99)
      (25, 40,  75)
      (25, 43,  51)
      (26,  2,  36)
      (26, 24,  75)
      (26, 33,  68)
      (26, 44,   2)
      (26, 45,  88)
      (27,  9,  87)
      (27, 28,  48)
      (27, 29,  94)
      (27, 33,   0)
      (28,  3,  85)
      (28,  8,  15)
      (28, 20,   5)
      (28, 33,  12)
      (28, 37,  53)
      (28, 40,  90)
      (29,  1,  39)
      (29,  4,  71)
      (29, 14,  10)
      (29, 23,  77)
      (29, 25,  21)
      (29, 32,  70)
      (29, 38,  31)
      (29, 44,  93)
      (30, 12,  83)
      (30, 22,  95)
      (30, 33,  88)
      (30, 43,  81)
      (31,  7,  69)
      (31, 11,  95)
      (31, 12,  67)
      (31, 15,  99)
      (31, 21,  53)
      (31, 43,  58)
      (31, 45,  21)
      (32,  1,  18)
      (32, 18,  17)
      (32, 20,  55)
      (32, 35,  78)
      (32, 45,  52)
      (33, 22,  25)
      (33, 27,  67)
      (33, 30,   6)
      (34, 16,   6)
      (34, 25,  36)
      (34, 27,  27)
      (34, 36,  90)
      (34, 37,  63)
      (34, 38,  54)
      (34, 43,  90)
      (35,  1,  79)
      (35, 24,  52)
      (35, 28,  14)
      (35, 31,  81)
      (35, 48,  33)
      (36, 11,  52)
      (36, 30,  54)
      (36, 37,  10)
      (36, 47,  86)
      (37, 33,  18)
      (37, 34,   3)
      (37, 41,  90)
      (37, 49,  65)
      (38,  5,  99)
      (38,  9,  77)
      (38, 10,  19)
      (38, 17,  13)
      (38, 22,  62)
      (38, 25,  17)
      (39,  3,  92)
      (39,  7,  88)
      (39, 19,  31)
      (39, 20,  45)
      (39, 31,  35)
      (39, 41,   9)
      (39, 45,  92)
      (39, 48,   4)
      (40,  4,  29)
      (40, 12,  76)
      (41,  3,  44)
      (41, 31,  59)
      (41, 47,  63)
      (42,  4,  57)
      (42, 13,  84)
      (42, 40,  14)
      (42, 41,  16)
      (42, 47,  58)
      (43, 35,  54)
      (43, 37,   6)
      (44,  4,  26)
      (44, 19,  21)
      (44, 47,  63)
      (45,  7,  54)
      (45, 11,  68)
      (45, 13,  91)
      (45, 14,  19)
      (46,  8,  70)
      (46, 22,  93)
      (46, 26,  91)
      (46, 27,  98)
      (46, 39,  50)
      (46, 40,  21)
      (46, 42,  53)
      (46, 48,  22)
      (47,  9,  25)
      (47, 14,   5)
      (47, 23,  35)
      (47, 25,  82)
      (47, 28,  65)
      (47, 33,  49)
      (48, 24,  32)
      (48, 35,  42)
      (48, 36,  79)
      (48, 37,  75)
      (48, 43,  20) }
------------------------- 

